hardness,solids,chloramines,conductivity,organic_carbon,trihalomethanes,organic_load_index,ph_squared,PSI_Level
0.5777467079096754,0.3862978779130765,0.568199396795074,0.2929854541972319,0.654521567493563,0.795029341762022,0.4124237018715503,0.3449790331981401,Severe
0.4413003450060943,0.3143805845468117,0.4393040522593466,0.3566846378146356,0.3772479591964074,0.2029143447902832,0.1963040052420582,0.4142903857005259,Moderate
0.4708756416110572,0.506122380738101,0.5243635132180062,0.1429126498754682,0.2499217142094202,0.4014871741458616,0.0549760170254397,0.1512693007506922,Moderate
0.7159419472629649,0.5061406973851464,0.5216828744236152,0.1486831511064146,0.4672000801711877,0.6586776618152992,0.1132624212292669,0.5268153548680041,Severe
0.5325875646306963,0.23770142036752,0.2702882487919231,0.4947917092006716,0.4097205186491911,0.4697616775284087,0.2397065486505336,0.3727313358472306,Moderate
0.6304770415356602,0.4480075297445481,0.6549288142398377,0.6566081560463256,0.634014287257528,0.5492804311365176,0.3670506020485604,0.6324461260452503,Severe
0.3774046117084058,0.5720664144953843,0.5248604503151699,0.4055725976115946,0.5396448084731833,0.6078772046558054,0.2366523845923754,0.268247697130102,Severe
0.3412514335437643,0.3277659806999755,0.1887475135683881,0.2647983164383496,0.5534606477203935,0.6144682892568989,0.2189549230833293,0.2504412806883611,Moderate
0.4643943221733387,0.7254039338474813,0.7019968257698173,0.5711627249126343,0.3765022635989655,0.5760949880377491,0.2184007276667983,0.1974444648817353,Severe
0.8215089156091135,0.4223133773188088,0.4698413571370967,0.5008944050008216,0.4509804931215617,0.5447818573908383,0.2729851520649902,0.4226826983655318,Severe
0.5782520121875077,0.4506035318711654,0.2591824238498786,0.4862854579475637,0.415579710039314,0.4697527381456209,0.0914649744583875,0.2690312366546041,Moderate
0.3887353320778848,0.5452137924785716,0.380696070182303,0.5837197817671338,0.6322578582803497,0.5931687167216058,0.2882213385354111,0.2181537715656737,Severe
0.2757759356165515,0.3016972712008521,0.7384020326391553,0.4916496034061621,0.3650779327084483,0.4189364245503096,0.2442262532680201,0.1410672535267781,Moderate
0.5137470940440934,0.3720599058175007,0.6203123667119744,0.3836540406987263,0.5119583089268469,0.6174751814329751,0.3806526250914436,0.2083769607692941,Severe
0.5513073289726831,0.5893744715022666,0.6297882816375062,0.4353021170674765,0.4678534072736097,0.1880698534722132,0.2535898320005511,0.054579360925219,Moderate
0.55827624013925,0.2648368988525782,0.3922765082297136,0.2546415128120796,0.230687548440903,0.5454800808980431,0.1663987175371161,0.2549396861393139,Moderate
0.1816680026665639,0.3917899034236983,0.5769052002556307,0.3831037349063334,0.4309604145396585,0.4951913558017101,0.3081636316094844,0.5491206780481981,Moderate
0.6625180377470496,0.5739044472642841,0.4648109333792524,0.3812849420764582,0.3243000046099901,0.3111363276227233,0.1099669323013126,0.2722872238589445,Moderate
0.4858007207246402,0.3436066008997655,0.3979030949862313,0.4352341547801786,0.3533917778915272,0.3522800736922828,0.1717722894466927,0.1259775857117251,Moderate
0.4528125875191101,0.4349673724545635,0.3533910708533839,0.4626242034571411,0.275492706864892,0.5632989188360067,0.1100034152499709,0.0614518087855583,Moderate
0.5131198267970212,0.4337505012374547,0.4021548739160179,0.3539045024029341,0.575327050739216,0.1889251196470696,0.3277651201487005,0.4308055670207883,Moderate
0.4977809204587829,0.2908775902041732,0.5626181003955235,0.2419704997625343,0.3217079126109956,0.4418158122058844,0.1903445303663077,0.1373633354182531,Moderate
0.6774676192996016,0.5066859194942246,0.4620908437843687,0.2363740450875212,0.3584983503392452,0.4986964319394683,0.2652515967875927,0.2523304753183815,Severe
0.5303564850651299,0.1718600962163586,0.4679036296713977,0.2384761214072533,0.8754729759854308,0.5480417084514935,0.5623970296185082,0.4953452573044405,Severe
0.5583282912224612,0.182564680927296,0.261741867046389,0.3435865798564025,0.4468684251337189,0.6828265153181241,0.15463661200206,0.2385257450464691,Moderate
0.4096163544561957,0.2748517354125276,0.3561576936171545,0.2214665737092864,0.3180942103825247,0.6055619707735365,0.160774868686719,0.5763168009712603,Moderate
0.5195870496835373,0.3777130062254673,0.3002889727180122,0.3681160755366975,0.4663385385149918,0.3409533919034429,0.2011628151906518,0.3835728267472112,Moderate
0.1105837025261762,0.2081730569994522,0.3256136385523274,0.7315273666813841,0.2987639131699668,0.4982297041988711,0.0590714101803476,0.3030799151656265,Moderate
0.2932915462406385,0.3480796875027273,0.3042055388426512,0.6241453232058716,0.3524056777483382,0.5471215286681568,0.1601161427954575,0.2176301996298968,Moderate
0.5668412450208642,0.2065183739021144,0.4976022176582136,0.5910379710935985,0.6480228254903384,0.3383890245251595,0.3011666427484822,0.419444669335282,Severe
0.4445477088400227,0.382118139685419,0.4771921854271457,0.4620737571585314,0.5757650780025317,0.222443005486084,0.2870051037039194,0.5629215572684432,Moderate
0.676012536109079,0.5066736273720119,0.5872411170471196,0.5069557102877158,0.1538429372786391,0.2643681228900496,0.0759526291965664,0.3626017680377146,Moderate
0.4789697963937242,0.4273436611487474,0.4975484825237196,0.3692265657669233,0.2433437698008703,0.7871081341236841,0.1452265002896612,0.1200493278416146,Moderate
0.6557855089665658,0.5665861418083166,0.4774971940920942,0.1229409121607577,0.3004883202397029,0.4779468311208273,0.1461047455835406,0.0713402495973972,Moderate
